English,Русский
part,часть
history,история
search,поиск
only,Только
police,полиция
thought,подумал
help,помощь
request,запрос
kind,Добрый
month,месяц
brother,брат
let,позволять
because,потому что
to put,положить
no,нет
leash,поводка
them,их
city,город
each,каждый
speak,говорить
come,прийти
should,должен
baby,детка
long time,много времени
hours,часы
will,буду
while,в то время как
meet again,Встретимся снова
any,любой
square,квадрат
speak,говорить
understood,понял
knew,знал
were,мы
Warning,Предупреждение
here is,Вот
could,мог
case,кейс
give,давать
type,тип
their,их
given,данный
train,тренироваться
body,тело
place,место
eyes,глаза
way,способ
listen,Слушать
whose,чья
find,найти
first,первый
lost,потерянный
hand,рука
first,первый
side,боковая сторона
power,власть
old,Старый
be,быть
here,здесь
morning,утро
so much,так много
child,ребенок
point,точка
came,пришел
after,после
sorry,извиняюсь
come,прийти
in front of,перед
towards,к
minutes,минут
request,запрос
bedroom,спальная комната
placed,размещены
beautiful,красивая
law,закон
would like to,хотел бы
today,Cегодня
husband,муж
cause,причина
finally,наконец
hope,надеяться
water,воды
Wait,Ждать
left,левый
new,новый
job,работа
Stop,Стоп
would say,сказал бы
Earth,Земля
account,учетная запись
given,данный
far,далеко
end,конец
believe,полагать
sweetheart,дорогой
large,большой
rather,скорее
will have,буду иметь
girls,девушки
to play,играть
office,офис
